"species","scientificName","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","year","month","country","countryCode","class","locality","occurrenceStatus","basisOfRecord","institutionCode","gbifRegion","phylum","family"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",52.565196,-0.755916,15,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",53.626591,-1.442942,393,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",55.946146,-4.283429,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",53.629002,-2.095678,2,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",50.860043,-0.550251,14,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",54.97543,-1.59097,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",50.374618,-4.171572,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",50.936853,-0.49379,176,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",54.310274,-1.832485,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",57.1785,-2.176764,2425,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
